Fecha,TIB,TIR,exp,cont
2014-06-25,4.02566371,4.0,5.0,3.0
2014-06-26,4.04540372,4.0,5.0,3.0
2014-06-27,4.02252244,4.0,5.0,3.0
2014-06-28,,4.0,5.0,3.0
2014-06-29,,4.0,5.0,3.0
2014-06-30,,4.0,5.0,3.0
2014-07-01,4.0237416,4.0,5.0,3.0
2014-07-02,4.02955193,4.0,5.0,3.0
2014-07-03,4.02650463,4.0,5.0,3.0
2014-07-04,4.01616533,4.0,5.0,3.0
2014-07-05,,4.0,5.0,3.0
2014-07-06,,4.0,5.0,3.0
2014-07-07,4.00999315,4.0,5.0,3.0
2014-07-08,3.98624172,4.0,5.0,3.0
2014-07-09,3.99015692,4.0,5.0,3.0
2014-07-10,3.96030207,4.0,5.0,3.0
2014-07-11,3.93991074,4.0,5.0,3.0
2014-07-12,,4.0,5.0,3.0
2014-07-13,,4.0,5.0,3.0
2014-07-14,3.93514632,4.0,5.0,3.0
2014-07-15,3.91633129,4.0,5.0,3.0
2014-07-16,3.88157976,4.0,5.0,3.0
2014-07-17,3.85959372,4.0,5.0,3.0
2014-07-18,3.85769046,4.0,5.0,3.0
2014-07-19,,4.0,5.0,3.0
2014-07-20,,4.0,5.0,3.0
2014-07-21,3.85579745,4.0,5.0,3.0
2014-07-22,3.87137775,4.0,5.0,3.0
2014-07-23,3.87348729,4.0,5.0,3.0
2014-07-24,3.87935065,4.0,5.0,3.0
2014-07-25,3.87276025,4.0,5.0,3.0
2014-07-26,,4.0,5.0,3.0
2014-07-27,,4.0,5.0,3.0
2014-07-28,3.87532128,4.0,5.0,3.0
2014-07-29,3.87795886,4.0,5.0,3.0
2014-07-30,3.86998494,4.0,5.0,3.0
2014-07-31,3.85734626,4.0,5.0,3.0
2014-08-01,4.14544268,4.25,5.25,3.25
2014-08-02,,4.25,5.25,3.25
2014-08-03,,4.25,5.25,3.25
2014-08-04,4.14492095,4.25,5.25,3.25
2014-08-05,4.08784,4.25,5.25,3.25
2014-08-06,4.07890644,4.25,5.25,3.25
2014-08-07,,4.25,5.25,3.25
2014-08-08,4.06647881,4.25,5.25,3.25
2014-08-09,,4.25,5.25,3.25
2014-08-10,,4.25,5.25,3.25
2014-08-11,4.06926972,4.25,5.25,3.25
2014-08-12,4.07247323,4.25,5.25,3.25
2014-08-13,4.08784716,4.25,5.25,3.25
2014-08-14,4.1172233,4.25,5.25,3.25
2014-08-15,4.14590503,4.25,5.25,3.25
2014-08-16,,4.25,5.25,3.25
2014-08-17,,4.25,5.25,3.25
2014-08-18,,4.25,5.25,3.25
2014-08-19,4.17303748,4.25,5.25,3.25
2014-08-20,4.15734308,4.25,5.25,3.25
2014-08-21,4.15911461,4.25,5.25,3.25
2014-08-22,4.15435835,4.25,5.25,3.25
2014-08-23,,4.25,5.25,3.25
2014-08-24,,4.25,5.25,3.25
2014-08-25,4.14427654,4.25,5.25,3.25
2014-08-26,4.14794406,4.25,5.25,3.25
2014-08-27,4.1532745,4.25,5.25,3.25
2014-08-28,4.14965299,4.25,5.25,3.25
2014-08-29,4.13276622,4.25,5.25,3.25
2014-08-30,,4.25,5.25,3.25
2014-08-31,,4.25,5.25,3.25
2014-09-01,4.44868894,4.5,5.5,3.5
2014-09-02,4.42680623,4.5,5.5,3.5
2014-09-03,4.43401178,4.5,5.5,3.5
2014-09-04,4.43315111,4.5,5.5,3.5
2014-09-05,4.43147373,4.5,5.5,3.5
2014-09-06,,4.5,5.5,3.5
2014-09-07,,4.5,5.5,3.5
2014-09-08,4.43976136,4.5,5.5,3.5
2014-09-09,4.46250479,4.5,5.5,3.5
2014-09-10,4.46297272,4.5,5.5,3.5
2014-09-11,4.46644435,4.5,5.5,3.5
2014-09-12,4.46,4.5,5.5,3.5
2014-09-13,,4.5,5.5,3.5
2014-09-14,,4.5,5.5,3.5
2014-09-15,4.43247227,4.5,5.5,3.5
2014-09-16,4.37115608,4.5,5.5,3.5
2014-09-17,4.33027825,4.5,5.5,3.5
2014-09-18,4.30562272,4.5,5.5,3.5
2014-09-19,4.33190487,4.5,5.5,3.5
2014-09-20,,4.5,5.5,3.5
2014-09-21,,4.5,5.5,3.5
2014-09-22,4.35169102,4.5,5.5,3.5
2014-09-23,4.39241144,4.5,5.5,3.5
2014-09-24,4.42464399,4.5,5.5,3.5
2014-09-25,4.44958063,4.5,5.5,3.5
2014-09-26,4.46925048,4.5,5.5,3.5
2014-09-27,,4.5,5.5,3.5
2014-09-28,,4.5,5.5,3.5
2014-09-29,4.47606008,4.5,5.5,3.5
2014-09-30,4.43272842,4.5,5.5,3.5
2014-10-01,4.45830754,4.5,5.5,3.5
2014-10-02,4.46825469,4.5,5.5,3.5
2014-10-03,4.47695413,4.5,5.5,3.5
2014-10-04,,4.5,5.5,3.5
2014-10-05,,4.5,5.5,3.5
2014-10-06,4.48029427,4.5,5.5,3.5
2014-10-07,4.50088698,4.5,5.5,3.5
2014-10-08,4.50376048,4.5,5.5,3.5
2014-10-09,4.4928931,4.5,5.5,3.5
2014-10-10,4.49339717,4.5,5.5,3.5
2014-10-11,,4.5,5.5,3.5
2014-10-12,,4.5,5.5,3.5
2014-10-13,,4.5,5.5,3.5
2014-10-14,4.5,4.5,5.5,3.5
2014-10-15,4.50982119,4.5,5.5,3.5
2014-10-16,4.50719736,4.5,5.5,3.5
2014-10-17,4.49135734,4.5,5.5,3.5
2014-10-18,,4.5,5.5,3.5
2014-10-19,,4.5,5.5,3.5
2014-10-20,4.50150267,4.5,5.5,3.5
2014-10-21,4.5142964,4.5,5.5,3.5
2014-10-22,4.5122361,4.5,5.5,3.5
2014-10-23,4.50728491,4.5,5.5,3.5
2014-10-24,4.50849943,4.5,5.5,3.5
2014-10-25,,4.5,5.5,3.5
2014-10-26,,4.5,5.5,3.5
2014-10-27,4.509998,4.5,5.5,3.5
2014-10-28,4.50728637,4.5,5.5,3.5
2014-10-29,4.50948794,4.5,5.5,3.5
2014-10-30,4.51266639,4.5,5.5,3.5
2014-10-31,4.50253689,4.5,5.5,3.5
2014-11-01,,4.5,5.5,3.5
2014-11-02,,4.5,5.5,3.5
2014-11-03,,4.5,5.5,3.5
2014-11-04,4.51783434,4.5,5.5,3.5
2014-11-05,4.51595986,4.5,5.5,3.5
2014-11-06,4.50956052,4.5,5.5,3.5
2014-11-07,4.5,4.5,5.5,3.5
2014-11-08,,4.5,5.5,3.5
2014-11-09,,4.5,5.5,3.5
2014-11-10,4.50687855,4.5,5.5,3.5
2014-11-11,4.50131791,4.5,5.5,3.5
2014-11-12,4.50910628,4.5,5.5,3.5
2014-11-13,4.49989889,4.5,5.5,3.5
2014-11-14,4.49862272,4.5,5.5,3.5
2014-11-15,,4.5,5.5,3.5
2014-11-16,,4.5,5.5,3.5
2014-11-17,,4.5,5.5,3.5
2014-11-18,4.50016249,4.5,5.5,3.5
2014-11-19,4.50281026,4.5,5.5,3.5
2014-11-20,4.50029856,4.5,5.5,3.5
2014-11-21,4.5,4.5,5.5,3.5
2014-11-22,,4.5,5.5,3.5
2014-11-23,,4.5,5.5,3.5
2014-11-24,4.5,4.5,5.5,3.5
2014-11-25,4.50137872,4.5,5.5,3.5
2014-11-26,4.50046208,4.5,5.5,3.5
2014-11-27,4.49984765,4.5,5.5,3.5
2014-11-28,4.50407749,4.5,5.5,3.5
2014-11-29,,4.5,5.5,3.5
2014-11-30,,4.5,5.5,3.5
2014-12-01,4.50941842,4.5,5.5,3.5
2014-12-02,4.50811489,4.5,5.5,3.5
2014-12-03,4.49990143,4.5,5.5,3.5
2014-12-04,4.4999555,4.5,5.5,3.5
2014-12-05,4.50065937,4.5,5.5,3.5
2014-12-06,,4.5,5.5,3.5
2014-12-07,,4.5,5.5,3.5
2014-12-08,,4.5,5.5,3.5
2014-12-09,4.50765997,4.5,5.5,3.5
2014-12-10,4.50913367,4.5,5.5,3.5
2014-12-11,4.49955808,4.5,5.5,3.5
