fecha,Efectivo,m1,m2,m3
2013-09-30,32564.04743338,72167.68220623,290808.63958491,319499.59479487
2013-10-31,34114.91168052,73387.57165381999,299863.20463696995,327578.39985072997
2013-11-30,34605.65353907,76785.34742709,306390.8582622,335823.71172728
2013-12-31,39488.45094198,83788.54061427,311178.53697811,340197.35931914
2014-01-31,36754.75037708,78985.05449701,310061.94630869,338625.36053274
2014-02-28,36345.1654015,79944.88981167,318519.0536621,347393.45513683
2014-03-31,36132.36923609,80633.21328013,317992.35614071996,346830.79048152
2014-04-30,36848.48784574,80080.18594605,318151.96703918,345777.49463355
2014-05-31,36083.44358079,78669.02883651,316831.22405931,346239.64196244004
2014-06-30,37065.42624876,81882.55067709,321532.19414808,351186.59511608
2014-07-31,37916.31707211,81436.89707119,325553.78719668,354237.11593860004
2014-08-31,37061.39771909,81408.74929358,326373.10140606,355450.52270873
2014-09-30,37005.18598291,81692.02217308,322607.66902776,351987.8280487
2014-10-31,38190.15250135,82215.36528312,329694.58277669,359789.27657765
2014-11-30,39301.382032,85763.7508914,333884.82028842,366322.35592548
2014-12-31,45328.40005589,93606.01301211,339464.65170677996,372253.45644387
2015-01-31,41965.50295712,88346.14380868,334492.22986828,368712.30863192
2015-02-28,41367.83141726,86757.76298309001,344001.90286888,377237.69016167
2015-03-31,41516.30794831,88072.70197866,344505.06957856,377652.74084804
2015-04-30,42020.77427732,85902.90615452,342839.79682497,376148.68320624
2015-05-31,41663.88673649,85532.21762118,346695.62551183,380918.43135289
2015-06-30,43159.61554045,90428.83224566,352104.48128617,386869.46276997996
2015-07-31,44579.45212573,89404.34524491,357284.96611776,389495.49115417997
2015-08-31,44537.06070302,91498.27234120999,362829.00365448,395451.29804789
2015-09-30,46582.43028129,90860.03035292,362589.26552822,394358.9065694
2015-10-31,46602.38012777,91696.38517683,370685.60171158,402353.36408509
2015-11-30,48150.12529394,96663.49448917,374864.51980297,408632.46060037
2015-12-31,54083.81365161,103369.3192453,381850.81544532,415690.99314391
2016-01-31,50384.20715396,95752.94315329,376203.80331813,410959.66786988004
2016-02-29,49093.80291498,96837.8235934,386633.97933396,419010.14046841
2016-03-31,49448.63651396,96155.88016038001,389517.36517661996,421710.36548304005
2016-04-30,47966.0620035,93588.06168656,389192.45851764997,421969.06973527
